iter	Passed	Remaining
408	4089	5909
409	4100	5900
410	4107	5886
411	4113	5870
412	4119	5854
413	4128	5843
414	4137	5832
415	4144	5818
416	4150	5802
417	4159	5791
418	4179	5795
419	4193	5790
420	4210	5790
421	4220	5781
422	4233	5774
423	4243	5764
424	4251	5752
425	4267	5750
426	4277	5739
427	4301	5749
428	4309	5735
429	4317	5722
430	4330	5717
431	4341	5707
432	4347	5693
433	4362	5689
434	4374	5681
435	4381	5667
436	4393	5660
437	4399	5644
438	4405	5630
439	4420	5626
440	4431	5616
441	4439	5603
442	4452	5598
443	4462	5588
444	4470	5575
445	4476	5560
446	4485	5549
447	4492	5535
448	4498	5520
449	4504	5505
450	4510	5490
451	4518	5478
452	4527	5467
453	4533	5452
454	4546	5445
455	4555	5435
456	4563	5422
457	4573	5412
458	4582	5401
459	4588	5386
460	4595	5372
461	4604	5361
462	4615	5353
463	4625	5342
464	4632	5329
465	4638	5315
466	4648	5305
467	4655	5292
468	4661	5278
469	4668	5264
470	4678	5254
471	4687	5243
472	4694	5229
473	4703	5219
474	4715	5212
475	4721	5197
476	4727	5183
477	4734	5170
478	4746	5162
479	4751	5147
480	4759	5135
481	4772	5129
482	4780	5117
483	4787	5103
484	4792	5089
485	4799	5075
486	4806	5063
487	4819	5056
488	4827	5045
489	4833	5030
490	4843	5021
491	4850	5008
492	4856	4994
493	4862	4980
494	4870	4968
495	4878	4957
496	4885	4944
497	4892	4931
498	4899	4919
499	4908	4908
500	4914	4895
501	4920	4881
502	4928	4869
503	4939	4860
504	4945	4847
505	4951	4833
506	4957	4820
507	4965	4809
508	4977	4801
509	4984	4789
510	4991	4776
511	4999	4765
512	5008	4754
513	5015	4741
514	5020	4728
515	5031	4719
516	5039	4707
517	5046	4695
518	5052	4682
519	5059	4669
520	5073	4664
521	5079	4651
522	5086	4638
523	5092	4625
524	5103	4617
525	5115	4609
526	5123	4598
527	5132	4588
528	5140	4576
529	5153	4570
530	5166	4562
531	5186	4562
532	5196	4553
533	5207	4544
534	5218	4535
535	5228	4526
536	5243	4521
537	5255	4513
538	5264	4503
539	5275	4494
540	5284	4483
541	5292	4471
542	5300	4461
543	5308	4450
544	5317	4439
545	5323	4426
